,timestamp,predicted_label
310,1536660469041,Non-Liegen
311,1536660479041,Non-Liegen
312,1536660489041,Non-Liegen
313,1536660499041,Non-Liegen
314,1536660542000,Non-Liegen
315,1536660552000,Non-Liegen
316,1536660562000,Non-Liegen
317,1536660572000,Non-Liegen
318,1536660582000,Non-Liegen
319,1536660592000,Non-Liegen
320,1536660602000,Non-Liegen
321,1536660612000,Non-Liegen
322,1536660622000,Non-Liegen
323,1536660632000,Non-Liegen
324,1536660642000,Non-Liegen
325,1536660652000,Non-Liegen
326,1536660662000,Non-Liegen
327,1536660672000,Non-Liegen
328,1536660682000,Non-Liegen
329,1536660692000,Non-Liegen
330,1536660702000,Non-Liegen
331,1536660712000,Non-Liegen
332,1536660722000,Non-Liegen
333,1536660753000,Non-Liegen
334,1536660763000,Non-Liegen
335,1536660773000,Non-Liegen
336,1536660783000,Non-Liegen
337,1536660793000,Non-Liegen
338,1536660803000,Non-Liegen
339,1536660813000,Non-Liegen
340,1536660823000,Non-Liegen
341,1536660833000,Non-Liegen
342,1536660843000,Non-Liegen
343,1536660853000,Non-Liegen
344,1536660863000,Non-Liegen
345,1536660873000,Non-Liegen
346,1536660883000,Non-Liegen
347,1536660893000,Non-Liegen
348,1536660903000,Non-Liegen
349,1536660913000,Non-Liegen
350,1536660923000,Non-Liegen
351,1536660933000,Non-Liegen
352,1536660943000,Non-Liegen
353,1536660953000,Non-Liegen
354,1536660963000,Non-Liegen
355,1536660973000,Non-Liegen
356,1536660983000,Non-Liegen
357,1536660993000,Non-Liegen
358,1536661003000,Non-Liegen
359,1536661013000,Non-Liegen
360,1536661023000,Non-Liegen
361,1536661033000,Non-Liegen
362,1536661043000,Non-Liegen
363,1536661053000,Non-Liegen
364,1536661063000,Non-Liegen
365,1536661073000,Non-Liegen
366,1536661083000,Non-Liegen
367,1536661093000,Non-Liegen
368,1536661103000,Non-Liegen
369,1536661113000,Non-Liegen
370,1536661123000,Non-Liegen
371,1536661133000,Non-Liegen
372,1536661143000,Non-Liegen
373,1536661153000,Non-Liegen
374,1536661163000,Non-Liegen
375,1536661173000,Non-Liegen
376,1536661183000,Non-Liegen
377,1536661193000,Non-Liegen
378,1536661203000,Non-Liegen
379,1536661213000,Non-Liegen
380,1536661223000,Non-Liegen
381,1536661233000,Non-Liegen
382,1536661243000,Non-Liegen
383,1536661253000,Non-Liegen
384,1536661263000,Non-Liegen
385,1536661273000,Non-Liegen
386,1536661283000,Non-Liegen
387,1536661293000,Non-Liegen
388,1536661303000,Non-Liegen
389,1536661313000,Non-Liegen
390,1536661323000,Non-Liegen
391,1536661333000,Non-Liegen
392,1536661343000,Non-Liegen
393,1536661353000,Non-Liegen
394,1536661363000,Non-Liegen
395,1536661373000,Non-Liegen
396,1536661383000,Non-Liegen
397,1536661393000,Non-Liegen
398,1536661403000,Non-Liegen
399,1536661413000,Non-Liegen
400,1536661423000,Non-Liegen
401,1536661433000,Non-Liegen
402,1536661443000,Non-Liegen
403,1536661453000,Non-Liegen
404,1536661463000,Non-Liegen
405,1536661473000,Non-Liegen
406,1536661483000,Non-Liegen
407,1536661493000,Non-Liegen
408,1536661503000,Non-Liegen
409,1536661513000,Non-Liegen
410,1536661523000,Non-Liegen
411,1536661533000,Non-Liegen
412,1536661543000,Non-Liegen
413,1536661553000,Non-Liegen
414,1536661563000,Non-Liegen
415,1536661573000,Non-Liegen
416,1536661583000,Non-Liegen
417,1536661593000,Non-Liegen
418,1536661603000,Non-Liegen
419,1536661613000,Non-Liegen
420,1536661623000,Non-Liegen
421,1536661633000,Non-Liegen
422,1536661643000,Non-Liegen
423,1536661653000,Non-Liegen
424,1536661663000,Non-Liegen
425,1536661673000,Non-Liegen
426,1536661683000,Non-Liegen
427,1536661693000,Non-Liegen
428,1536661703000,Non-Liegen
429,1536661713000,Non-Liegen
430,1536661723000,Non-Liegen
431,1536661733000,Non-Liegen
432,1536661743000,Non-Liegen
433,1536661753000,Non-Liegen
434,1536661763000,Non-Liegen
435,1536661773000,Non-Liegen
436,1536661783000,Non-Liegen
437,1536661793000,Non-Liegen
438,1536661803000,Non-Liegen
439,1536661813000,Non-Liegen
440,1536661823000,Non-Liegen
441,1536661868022,Non-Liegen
442,1536661878022,Non-Liegen
443,1536661888022,Non-Liegen
444,1536661898022,Non-Liegen
445,1536661908022,Non-Liegen
446,1536661918022,Non-Liegen
447,1536661928022,Non-Liegen
448,1536661949011,Non-Liegen
449,1536661959011,Non-Liegen
450,1536661969011,Non-Liegen
451,1536661979011,Non-Liegen
452,1536661989011,Non-Liegen
453,1536661999011,Non-Liegen
454,1536662009011,Non-Liegen
455,1536662019011,Non-Liegen
456,1536662029011,Non-Liegen
457,1536662039011,Non-Liegen
458,1536662049011,Non-Liegen
459,1536662059011,Non-Liegen
460,1536662069011,Non-Liegen
461,1536662079011,Non-Liegen
462,1536662089011,Non-Liegen
463,1536662099011,Non-Liegen
464,1536662109011,Non-Liegen
465,1536662119011,Non-Liegen
466,1536662129011,Non-Liegen
467,1536662139011,Non-Liegen
468,1536662149011,Non-Liegen
469,1536662159011,Non-Liegen
470,1536662169011,Non-Liegen
471,1536662179011,Non-Liegen
472,1536662189011,Non-Liegen
473,1536662199011,Non-Liegen
474,1536662209011,Non-Liegen
475,1536662219011,Non-Liegen
476,1536662229011,Non-Liegen
477,1536662239011,Non-Liegen
478,1536662249011,Non-Liegen
479,1536662259011,Non-Liegen
480,1536662269011,Non-Liegen
481,1536662279011,Non-Liegen
482,1536662289011,Non-Liegen
483,1536662299011,Non-Liegen
484,1536662309011,Non-Liegen
485,1536662319011,Non-Liegen
486,1536662329011,Non-Liegen
487,1536662339011,Non-Liegen
488,1536662349011,Non-Liegen
489,1536662359011,Non-Liegen
490,1536662369011,Non-Liegen
491,1536662379011,Non-Liegen
492,1536662389011,Non-Liegen
493,1536662399011,Non-Liegen
494,1536662409011,Non-Liegen
495,1536662419011,Non-Liegen
496,1536662429011,Non-Liegen
497,1536662439011,Non-Liegen
498,1536662449011,Non-Liegen
499,1536662459011,Non-Liegen
500,1536662469011,Non-Liegen
501,1536662479011,Non-Liegen
502,1536662489011,Non-Liegen
503,1536662499011,Non-Liegen
504,1536662509011,Non-Liegen
505,1536662519011,Non-Liegen
506,1536662529011,Non-Liegen
507,1536662539011,Non-Liegen
508,1536662549011,Non-Liegen
509,1536662559011,Non-Liegen
510,1536662569011,Non-Liegen
511,1536662579011,Non-Liegen
512,1536662589011,Non-Liegen
513,1536662599011,Non-Liegen
514,1536662675000,Non-Liegen
515,1536662685000,Non-Liegen
516,1536662695000,Non-Liegen
517,1536662718052,Non-Liegen
518,1536662728052,Liegen
519,1536662738052,Liegen
520,1536662748052,Liegen
521,1536662758052,Liegen
522,1536662768052,Non-Liegen
523,1536662778052,Liegen
524,1536662788052,Liegen
525,1536662798052,Liegen
526,1536662808052,Liegen
527,1536662818052,Liegen
528,1536662828052,Liegen
529,1536662838052,Liegen
530,1536662848052,Liegen
531,1536662858052,Liegen
532,1536662868052,Liegen
533,1536662878052,Liegen
534,1536662888052,Liegen
535,1536662898052,Liegen
536,1536662908052,Liegen
537,1536662918052,Liegen
538,1536662928052,Liegen
539,1536662938052,Liegen
540,1536662948052,Liegen
541,1536662958052,Liegen
542,1536662968052,Liegen
543,1536662978052,Liegen
544,1536662988052,Liegen
545,1536662998052,Liegen
546,1536663008052,Liegen
547,1536663018052,Liegen
548,1536663028052,Liegen
549,1536663038052,Liegen
550,1536663048052,Liegen
551,1536663058052,Liegen
552,1536663068052,Liegen
553,1536663078052,Liegen
554,1536663088052,Liegen
555,1536663098052,Liegen
556,1536663108052,Liegen
557,1536663118052,Liegen
558,1536663128052,Liegen
559,1536663138052,Liegen
560,1536663148052,Liegen
561,1536663158052,Liegen
562,1536663168052,Liegen
563,1536663178052,Liegen
564,1536663188052,Liegen
565,1536663198052,Liegen
566,1536663208052,Liegen
567,1536663218052,Liegen
568,1536663228052,Liegen
569,1536663238052,Liegen
570,1536663248052,Liegen
571,1536663258052,Liegen
572,1536663268052,Non-Liegen
573,1536663278052,Liegen
574,1536663288052,Liegen
575,1536663298052,Liegen
576,1536663308052,Liegen
577,1536663318052,Non-Liegen
578,1536663328052,Liegen
579,1536663338052,Liegen
580,1536663348052,Non-Liegen
581,1536663358052,Non-Liegen
582,1536663368052,Liegen
583,1536663378052,Liegen
584,1536663388052,Liegen
585,1536663398052,Liegen
586,1536663408052,Non-Liegen
587,1536663418052,Non-Liegen
588,1536663428052,Liegen
589,1536663438052,Liegen
590,1536663448052,Liegen
591,1536663458052,Liegen
592,1536663468052,Liegen
593,1536663478052,Non-Liegen
594,1536663488052,Non-Liegen
595,1536663498052,Non-Liegen
596,1536663508052,Non-Liegen
597,1536663518052,Non-Liegen
598,1536663528052,Non-Liegen
599,1536663538052,Non-Liegen
600,1536663548052,Non-Liegen
601,1536663558052,Non-Liegen
602,1536663568052,Non-Liegen
603,1536663578052,Non-Liegen
604,1536663588052,Non-Liegen
605,1536663598052,Non-Liegen
606,1536663608052,Non-Liegen
607,1536663618052,Non-Liegen
608,1536663657018,Non-Liegen
609,1536663667018,Non-Liegen
610,1536663677018,Non-Liegen
611,1536663705092,Non-Liegen
612,1536663715092,Non-Liegen
613,1536663725092,Non-Liegen
614,1536663735092,Non-Liegen
615,1536663745092,Non-Liegen
616,1536663755092,Non-Liegen
617,1536663765092,Non-Liegen
618,1536663775092,Non-Liegen
619,1536663785092,Non-Liegen
620,1536663795092,Non-Liegen
621,1536663805092,Non-Liegen
622,1536663815092,Non-Liegen
623,1536663825092,Non-Liegen
624,1536663835092,Non-Liegen
625,1536663845092,Non-Liegen
626,1536663855092,Non-Liegen
627,1536663865092,Non-Liegen
628,1536663875092,Non-Liegen
629,1536663885092,Non-Liegen
630,1536663895092,Non-Liegen
631,1536663905092,Non-Liegen
632,1536663915092,Non-Liegen
633,1536663925092,Non-Liegen
634,1536663935092,Non-Liegen
635,1536663945092,Non-Liegen
636,1536663955092,Non-Liegen
637,1536663965092,Non-Liegen
638,1536663975092,Non-Liegen
639,1536663985092,Non-Liegen
640,1536663995092,Non-Liegen
641,1536664005092,Non-Liegen
642,1536664015092,Non-Liegen
643,1536664025092,Non-Liegen
644,1536664035092,Non-Liegen
645,1536664045092,Non-Liegen
646,1536664055092,Non-Liegen
647,1536664065092,Non-Liegen
648,1536664075092,Non-Liegen
649,1536664085092,Non-Liegen
650,1536664095092,Non-Liegen
651,1536664105092,Non-Liegen
652,1536664115092,Non-Liegen
653,1536664125092,Non-Liegen
654,1536664135092,Non-Liegen
655,1536664145092,Non-Liegen
656,1536664155092,Non-Liegen
657,1536664165092,Non-Liegen
658,1536664175092,Non-Liegen
659,1536664185092,Non-Liegen
660,1536664195092,Non-Liegen
661,1536664205092,Liegen
662,1536664215092,Liegen
663,1536664225092,Liegen
664,1536664235092,Non-Liegen
665,1536664245092,Non-Liegen
666,1536664255092,Liegen
667,1536664265092,Non-Liegen
668,1536664275092,Liegen
669,1536664285092,Liegen
670,1536664295092,Liegen
